animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,3
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,6
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,1
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,5
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,4
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,4
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,0
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,0
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,0
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,5
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,1
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,5
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,6
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,0
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,0
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,4
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,6
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,0
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,1
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,0
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,0
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,1
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,6
